woman;age;education;work;metropolitan_area;non_white;urban;work_permit;poverty
1;34;5;4;2;1;2;2;1
2;29;5;10;2;2;2;3;1
1;38;3;2;2;2;2;2;2
1;40;5;1;2;2;1;2;1
1;43;2;1;2;2;1;3;1
1;30;2;1;2;1;1;3;1
1;43;2;1;2;1;1;3;1
1;18;2;1;2;2;1;3;1
1;51;2;1;2;1;1;3;1
1;50;2;4;2;2;1;3;2
1;22;3;1;2;2;1;2;1
2;44;7;9;2;2;1;3;1
1;44;4;1;2;2;1;3;1
1;35;2;1;2;2;2;1;2
1;43;3;2;2;2;2;2;1
2;38;5;4;2;2;2;2;1
2;48;5;9;2;2;2;3;1
2;48;7;4;3;2;1;3;1
1;26;2;7;3;2;1;3;2
2;39;2;4;3;2;1;3;2
2;20;4;4;3;2;1;3;2
1;42;3;7;3;2;1;3;2
1;54;6;7;3;2;1;3;1
2;33;5;6;3;2;1;3;1
1;30;2;3;3;1;1;2;2
1;42;2;7;3;2;1;3;2
2;23;2;9;3;2;1;2;1
1;49;6;4;3;2;2;2;2
1;20;2;7;3;2;2;2;2
2;53;5;8;3;1;2;3;1
1;47;7;8;3;2;2;1;1
2;30;7;7;3;2;2;2;1
1;32;5;4;3;1;2;2;1
2;30;7;4;3;1;2;2;1
1;46;5;5;2;1;1;3;1
2;40;7;9;2;1;1;3;1
1;21;5;5;2;1;1;3;1
1;39;2;1;2;2;1;3;2
1;25;5;1;2;2;1;3;2
1;38;7;9;2;1;1;3;1
1;48;5;9;2;2;1;3;1
1;34;5;2;2;2;1;2;1
2;29;7;4;2;1;1;2;1
1;35;6;2;2;1;1;1;1
1;52;2;1;2;1;1;3;1
1;56;2;1;2;2;1;1;1
1;19;3;1;2;2;1;1;2
1;25;3;1;2;2;1;1;1
1;58;2;4;2;2;2;3;1
2;50;7;9;2;2;2;3;1
2;41;7;9;2;2;2;3;1
1;50;7;8;2;2;2;3;1
2;36;7;9;2;2;2;1;1
1;45;5;1;2;2;2;3;2
1;77;1;4;2;2;2;3;1
2;42;5;2;2;2;2;2;2
2;41;7;8;2;2;2;3;1
2;58;5;8;2;2;2;3;1
2;57;7;9;2;1;2;3;1
1;60;2;6;2;2;2;3;1
2;50;7;9;2;2;2;3;1
2;35;5;4;3;2;2;3;2
1;46;5;8;3;2;2;1;1
1;30;5;2;3;2;2;2;2
1;22;5;3;3;2;2;1;2
1;22;3;4;3;2;2;1;2
2;55;5;9;2;2;2;2;2
1;47;2;6;2;2;2;1;2
2;36;5;4;2;2;2;2;1
1;37;5;7;2;2;2;2;1
2;34;5;11;2;2;2;1;2
1;39;2;4;2;2;2;1;2
2;31;5;4;2;2;2;3;1
1;39;5;2;2;2;2;3;1
1;50;2;6;2;2;2;3;2
1;54;1;3;3;1;2;3;2
1;40;6;7;3;2;2;2;1
1;49;2;3;3;2;2;3;1
2;25;6;9;3;2;2;1;1
1;60;5;9;3;2;2;3;1
1;31;7;9;3;2;2;3;1
2;42;5;3;3;2;2;2;1
1;50;2;7;3;2;2;3;1
2;40;7;4;3;2;2;2;1
1;22;6;8;3;2;2;1;1
2;48;7;9;3;2;2;3;1
2;32;7;4;3;2;2;2;1
1;37;6;4;3;2;2;2;1
2;51;7;8;3;2;2;3;1
1;54;2;3;3;1;2;2;1
1;32;5;8;3;2;2;1;1
2;39;7;9;3;2;2;2;1
1;37;7;9;3;2;2;2;1
1;72;7;10;3;1;2;1;1
2;68;7;9;3;2;2;3;1
2;44;7;9;3;2;2;3;1
2;39;7;9;3;1;2;3;1
1;26;5;7;3;2;2;2;1
2;50;4;2;3;2;2;3;2
1;55;2;3;3;2;2;3;2
1;48;7;9;3;1;2;3;1
2;39;7;8;3;2;2;3;1
2;24;6;10;3;1;2;3;2
1;53;2;1;2;2;1;2;1
2;20;6;8;3;2;2;1;1
1;64;5;4;3;2;2;3;1
1;26;7;8;3;1;2;1;1
1;55;5;2;2;2;2;3;1
1;42;5;4;2;2;2;2;1
2;21;5;4;2;2;2;2;1
1;33;2;2;2;1;2;3;2
2;47;7;9;3;1;2;3;1
2;37;7;9;3;2;2;1;1
2;63;3;9;3;2;2;3;1
1;48;7;9;3;1;2;2;1
2;45;7;10;3;2;2;2;1
1;27;7;10;3;2;2;2;1
1;65;5;4;3;2;2;3;1
2;56;7;8;3;2;2;3;1
1;37;5;3;3;1;2;1;1
2;29;2;11;3;1;2;1;2
1;57;2;6;3;1;2;3;2
2;24;5;11;3;1;2;1;2
2;42;5;4;3;2;2;3;1
1;29;7;9;3;1;2;2;1
1;52;2;4;2;2;2;2;2
2;24;5;9;2;2;2;3;1
2;43;2;7;2;2;2;2;1
2;52;5;8;2;2;2;1;1
1;36;3;8;2;2;2;1;1
2;33;5;4;2;2;2;2;1
2;31;7;4;2;2;2;2;1
1;42;4;8;2;2;2;3;1
1;46;2;6;2;2;2;3;1
2;36;5;10;2;2;2;3;1
1;56;5;1;2;2;2;3;2
2;45;5;9;2;2;2;1;2
1;38;5;4;2;2;2;2;1
2;34;7;4;2;2;2;3;1
1;51;5;8;2;2;2;3;1
2;39;5;9;2;2;2;3;1
1;26;5;10;2;2;2;3;1
2;43;2;6;3;2;2;3;2
2;51;4;4;3;2;2;3;2
2;56;5;11;3;2;2;1;2
2;46;3;7;3;2;2;2;2
1;42;5;3;3;2;2;3;1
1;35;5;9;3;1;2;3;1
1;48;2;7;3;2;2;2;2
1;47;7;8;3;1;2;3;1
1;27;5;5;3;2;2;3;1
2;33;7;9;3;1;2;2;1
1;64;2;8;3;2;2;3;1
2;29;7;4;3;2;2;3;1
1;36;6;4;3;2;2;3;1
1;38;7;7;3;2;2;2;2
1;33;5;3;3;2;2;3;2
2;51;4;10;3;2;2;2;1
2;58;3;4;3;1;2;3;1
1;35;4;4;3;2;2;3;2
1;42;5;2;2;2;2;2;1
2;43;6;9;2;2;2;1;1
1;42;7;7;2;1;2;2;1
1;45;7;8;2;2;2;1;1
2;39;7;8;2;2;2;1;1
1;39;7;4;2;2;2;2;1
1;41;2;1;2;2;1;3;2
1;50;2;1;2;2;1;3;1
1;38;4;2;2;2;1;3;2
1;28;4;1;2;2;1;1;2
2;41;5;7;3;2;2;2;1
1;26;5;7;3;2;2;2;1
1;28;2;4;3;1;2;3;1
2;64;4;11;3;2;2;1;1
2;37;7;8;3;2;2;3;1
2;40;5;4;3;2;2;2;1
2;63;2;2;2;2;2;3;1
2;39;4;4;2;2;2;3;1
1;43;4;5;2;2;2;3;1
1;15;3;4;2;2;2;1;1
1;37;3;4;2;2;2;1;2
1;28;4;10;2;2;2;3;2
1;24;7;4;2;2;2;3;1
1;36;7;8;3;2;2;1;1
2;32;7;4;3;2;2;2;1
2;42;5;11;3;2;2;1;2
2;41;5;9;3;2;2;3;1
1;50;2;1;3;1;2;1;2
1;23;5;4;3;2;2;2;2
1;39;5;4;3;2;2;2;1
2;53;2;11;3;2;2;2;1
2;28;6;9;3;2;2;3;1
1;26;5;8;3;2;2;3;1
1;24;4;1;2;2;1;1;1
1;21;2;1;2;2;1;2;2
1;57;2;9;2;2;1;3;1
1;40;2;1;2;2;1;2;1
1;32;7;7;3;2;2;3;1
2;23;5;4;3;2;2;2;1
2;48;7;8;3;1;2;3;1
1;48;7;4;3;2;2;1;1
2;47;5;4;3;2;2;3;1
2;62;5;8;3;2;2;1;1
1;39;5;10;3;2;2;3;1
1;27;5;4;2;2;1;2;2
1;36;2;1;2;2;1;3;1
1;38;5;5;2;1;2;2;1
1;55;2;1;2;1;2;3;1
2;50;2;1;2;2;2;3;1
1;21;5;4;2;1;2;2;1
1;50;2;3;2;2;2;3;1
2;32;5;9;2;1;2;1;1
1;37;2;1;2;2;1;3;1
